Module,,LUT Count,
,E-Map,Vivado 2022,Yosys 0.33
square,3497\quad(-14.46\%),4088,4009
arbiter,2655\quad(-3.21\%),2743,2655
voter,1440\quad(-10.78\%),1614,1461
i10,559\quad(-10.99\%),628,580
k2,520\quad(-0.38\%),522,537
c6288,513\quad(-24.67\%),681,519
c7552,329\quad(-8.10\%),358,333
C7552,327\quad(-11.14\%),368,333
C5315,267\quad(-6.32\%),285,269
adder,265\quad(-18.71\%),326,276
c5315,262\quad(-6.76\%),281,263
dalu,216\quad(-11.11\%),243,237
vda,204\quad(-2.86\%),210,270
frg2,199\quad(-9.13\%),219,202
rot,176\quad(-6.88\%),189,196
apex6,166\quad(-9.29\%),183,168
x3,157\quad(-5.99\%),167,161
alu4,133\quad(-2.21\%),136,204
i9,128\quad(-3.76\%),133,150
cavlc,92\quad(-13.21\%),106,134
C1908,89\quad(-3.26\%),92,94
example2,87\quad(-3.33\%),90,88
C880,81\quad(-5.81\%),86,85
c880,81\quad(-10.99\%),91,85
i5,70\quad(-26.32\%),95,70
i2,52\quad(-14.75\%),61,52
router,48\quad(-11.11\%),54,54
C432,47\quad(-36.49\%),74,47
c432,47\quad(-18.97\%),58,47
i4,42\quad(-22.22\%),54,42
int2float,35\quad(-7.89\%),38,46
alu2,31\quad(-3.12\%),32,117
b9,31\quad(-6.06\%),33,33
term1,24\quad(-29.41\%),34,25
pcler8,23\quad(-8.00\%),25,23
comp,19\quad(-24.00\%),25,19
sct,18\quad(-5.26\%),19,19
f51m,14\quad(-12.50\%),16,23
pcle,13\quad(-7.14\%),14,13
cmb,11\quad(-8.33\%),12,11
x2,11\quad(-8.33\%),12,11
cordic,9\quad(-10.00\%),10,9
